title,company,location,link,salary,job_type,time_posted,skills,category,scraped_date,source
Java Developer || Product || Bangalore,KSA INC,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-product-bangalore-at-ksa-inc-4283561872,Not specified,Not specified,1 week ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Victrix Inc.,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/java-developer-at-victrix-inc-4288032170,Not specified,Not specified,21 hours ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Persistent Systems,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/java-developer-at-persistent-systems-4234630173,Not specified,Not specified,1 day ago,"go, java",software_development,2025-08-20,LinkedIn
Jr./Mid Java Developer,WovV Technologies,"Vadodara, Gujarat, India",https://in.linkedin.com/jobs/view/jr-mid-java-developer-at-wovv-technologies-4287009434,Not specified,Not specified,3 days ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer - Spring Boot/Hibernate,Bacancy,"Ahmedabad, Gujarat, India",https://in.linkedin.com/jobs/view/java-developer-spring-boot-hibernate-at-bacancy-4268809698,Not specified,Not specified,1 month ago,"go, spring, java",software_development,2025-08-20,LinkedIn
Java Developer,Persistent Systems,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-at-persistent-systems-4225974096,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Jr. Java Developer,Relanto,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/jr-java-developer-at-relanto-4273720058,Not specified,Not specified,3 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Java & Microservices Developer – UPI Domain,HDFC Bank,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-microservices-developer-%E2%80%93-upi-domain-at-hdfc-bank-4282820745,Not specified,Not specified,5 days ago,"go, java",software_development,2025-08-20,LinkedIn
Software Java Developer - 1,NxtWave,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/software-java-developer-1-at-nxtwave-4257911625,Not specified,Not specified,1 month ago,"go, java",software_development,2025-08-20,LinkedIn
Junior Java Developer,Clover Infotech,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/junior-java-developer-at-clover-infotech-4123154280,Not specified,Not specified,7 months ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer_ Associate_ Software Engineering,Morgan Stanley,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-associate-software-engineering-at-morgan-stanley-4287846678,Not specified,Not specified,1 day ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,Citi,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/java-developer-at-citi-4276872375,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
Java Developer,In Time Tec,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-at-in-time-tec-4238514440,Not specified,Not specified,2 months ago,"go, java",software_development,2025-08-20,LinkedIn
Interesting Job Opportunity: Java Developer - Spring Boot/Hibernate,Deqode,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/interesting-job-opportunity-java-developer-spring-boot-hibernate-at-deqode-4119067681,Not specified,Not specified,7 months ago,"go, spring, java",software_development,2025-08-20,LinkedIn
Java Developer,Infosys,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/java-developer-at-infosys-4273034084,Not specified,Not specified,2 weeks ago,"go, java",software_development,2025-08-20,LinkedIn
